original	converted	r1_clipping	r1_brightness	r1_hue	r2_clipping	r2_brightness	r2_hue	rae_unint	rmse_unint	rmae_unint	rpae_unint	ssim_h_int	ssim_s_int	ssim_v_int	rae_int	rmse_int
originals/D700_CMK_1455_.NEF	converted_AdobeDNC/D700_CMK_1455_AdobeDNC.dng	3	2	3	3	2	3					0.99916506	0.998324	0.9999185		
originals/D700_CMK_1476_.NEF	converted_AdobeDNC/D700_CMK_1476_AdobeDNC.dng	3	2	3	3	2	3					0.9960677	0.99869937	0.9997239		
originals/D700_KPIC_1_.NEF	converted_AdobeDNC/D700_KPIC_1_AdobeDNC.dng	3	2	3	3	2	3					0.99972844	0.9978688	0.99990314		
originals/D700_KPIC_2_.NEF	converted_AdobeDNC/D700_KPIC_2_AdobeDNC.dng	3	2	3	3	2	3					0.99978745	0.9978175	0.99981856		
originals/D700_KPIC_3_.NEF	converted_AdobeDNC/D700_KPIC_3_AdobeDNC.dng	3	2	3	3	2	3					0.99749136	0.9959691	0.9992146		
originals/D700_PN_DSC_0143_.NEF	converted_AdobeDNC/D700_PN_DSC_0143_AdobeDNC.dng	3	2	3	3	2	3					0.99976206	0.9979289	0.999889		
originals/D700_PN_DSC_0302_.NEF	converted_AdobeDNC/D700_PN_DSC_0302_AdobeDNC.dng	3	2	3	3	2	3					0.9991251	0.9983432	0.9998971		
originals/D700_PN_DSC_0364_.NEF	converted_AdobeDNC/D700_PN_DSC_0364_AdobeDNC.dng	3	2	3	3	2	3					0.99869853	0.9978799	0.99988776		
originals/D700_PN_DSC_0443_.NEF	converted_AdobeDNC/D700_PN_DSC_0443_AdobeDNC.dng	3	2	3	3	2	3					0.9994108	0.9963345	0.9998646		
originals/D700_PN_DSC_0570_.NEF	converted_AdobeDNC/D700_PN_DSC_0570_AdobeDNC.dng	3	2	3	3	2	3					0.9989077	0.997021	0.9998239		
originals/D700_PN_DSC_1220_.NEF	converted_AdobeDNC/D700_PN_DSC_1220_AdobeDNC.dng	3	2	2	3	2	2					0.9992266	0.99664694	0.99960387		
