original	converted	r1_clipping	r1_brightness	r1_hue	r2_clipping	r2_brightness	r2_hue	rae_unint	rmse_unint	rmae_unint	rpae_unint	ssim_h_int	ssim_s_int	ssim_v_int	rae_int	rmse_int
originals/D300_PN_DSC_9164_.NEF	converted_AdobeDNC/D300_PN_DSC_9164_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99699914	0.99168813	0.9990832	0.6202991	4.0153113E-006
originals/D700_CMK_1449_.NEF	converted_AdobeDNC/D700_CMK_1449_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9990297	0.997204	0.9998476	0.7084585	3.6005392E-007
originals/D700_CMK_1455_.NEF	converted_AdobeDNC/D700_CMK_1455_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.98420775	0.9854129	0.9990327	0.99997306	3.8810427E-005
originals/D700_CMK_1476_.NEF	converted_AdobeDNC/D700_CMK_1476_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99477565	0.9973573	0.9996899	0.8252369	6.1564435E-007
originals/D700_KPIC_1_.NEF	converted_AdobeDNC/D700_KPIC_1_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9974277	0.99269265	0.9979233	0.9999503	4.2446867E-005
originals/D700_KPIC_2_.NEF	converted_AdobeDNC/D700_KPIC_2_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99978113	0.9971582	0.9998047	0.9214535	1.0995909E-006
originals/D700_KPIC_3_.NEF	converted_AdobeDNC/D700_KPIC_3_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99683326	0.99486494	0.9990428	0.7617713	1.672079E-006
originals/D700_PN_DSC_0143_.NEF	converted_AdobeDNC/D700_PN_DSC_0143_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99834937	0.9935329	0.9996558	0.64226395	1.7896941E-006
originals/D700_PN_DSC_0302_.NEF	converted_AdobeDNC/D700_PN_DSC_0302_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9941283	0.99162996	0.99872124	0.99996233	3.1285803E-005
originals/D700_PN_DSC_0364_.NEF	converted_AdobeDNC/D700_PN_DSC_0364_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.982508	0.97582376	0.9982581	0.99968976	2.980714E-005
originals/D700_PN_DSC_0443_.NEF	converted_AdobeDNC/D700_PN_DSC_0443_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9894867	0.9758448	0.9988004	0.9703678	3.8613816E-006
originals/D700_PN_DSC_0570_.NEF	converted_AdobeDNC/D700_PN_DSC_0570_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.987737	0.980962	0.9979291	0.9987097	1.9220066E-005
originals/D700_PN_DSC_1220_.NEF	converted_AdobeDNC/D700_PN_DSC_1220_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9986937	0.9951268	0.99949723	0.8634155	5.6003933E-006
originals/D700_PN_DSC_1316_.NEF	converted_AdobeDNC/D700_PN_DSC_1316_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99634033	0.99305665	0.99885595	0.9628506	7.3766278E-006
originals/D700_PN_DSC_1348_.NEF	converted_AdobeDNC/D700_PN_DSC_1348_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99775255	0.9957185	0.9995417	0.83510125	4.040455E-006
originals/D700_PN_DSC_1353_.NEF	converted_AdobeDNC/D700_PN_DSC_1353_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99810654	0.99573046	0.99952686	0.8755791	3.6151937E-006
