original	converted	r1_clipping	r1_brightness	r1_hue	r2_clipping	r2_brightness	r2_hue	rae_unint	rmse_unint	rmae_unint	rpae_unint	ssim_h_int	ssim_s_int	ssim_v_int	rae_int	rmse_int
originals/D700_PN_DSC_4607_.NEF	converted_DxO/D700_PN_DSC_4607_DxO.dng	3	2	3	3	2	3					0.7373799	0.51696575	0.688662		
originals/D700_PN_DSC_4745_.NEF	converted_DxO/D700_PN_DSC_4745_DxO.dng	2	3	3	2	3	3					0.66630113	0.48410705	0.88208526		
originals/D700_PN_DSC_4769_.NEF	converted_DxO/D700_PN_DSC_4769_DxO.dng	2	3	2	2	2	3					0.8175764	0.35286808	0.81083626		
originals/D700_PN_DSC_4931_.NEF	converted_DxO/D700_PN_DSC_4931_DxO.dng	2	3	3	2	2	3					0.7054758	0.49220774	0.6835256		
originals/D700_PN_DSC_5284_.NEF	converted_DxO/D700_PN_DSC_5284_DxO.dng	2	2	3	2	2	3					0.78962636	0.38725626	0.60628146		
originals/D700_PN_DSC_5424_.NEF	converted_DxO/D700_PN_DSC_5424_DxO.dng	2	2	3	2	2	3					0.84302956	0.4749568	0.5838752		
originals/D700_PN_DSC_5526_.NEF	converted_DxO/D700_PN_DSC_5526_DxO.dng	2	2	3	2	2	3					0.7760224	0.76672643	0.85540116		
originals/D700_PN_DSC_5590_.NEF	converted_DxO/D700_PN_DSC_5590_DxO.dng	2	2	3	2	2	3					0.7067318	0.6485898	0.84295744		
originals/D700_PN_DSC_5641_.NEF	converted_DxO/D700_PN_DSC_5641_DxO.dng	2	3	2	2	2	3					0.8574033	0.5093729	0.7590816		
originals/D700_PN_DSC_5670_.NEF	converted_DxO/D700_PN_DSC_5670_DxO.dng	2	2	3	2	2	3					0.8418106	0.73481697	0.9183825		
originals/D700_PN_DSC_5705_.NEF	converted_DxO/D700_PN_DSC_5705_DxO.dng	2	3	3	2	2	3					0.705269	0.42625967	0.6652463		
originals/D700_PN_DSC_5787_.NEF	converted_DxO/D700_PN_DSC_5787_DxO.dng	2	2	3	2	2	3					0.8566505	0.4974427	0.70673525		
originals/D700_PN_DSC_5796_.NEF	converted_DxO/D700_PN_DSC_5796_DxO.dng	2	2	3	2	2	3					0.7132411	0.35763684	0.5446921		
originals/D700_PN_DSC_5814_.NEF	converted_DxO/D700_PN_DSC_5814_DxO.dng	2	2	2	2	2						0.7143695	0.35557997	0.61965185		
originals/D700_PN_DSC_5864_.NEF	converted_DxO/D700_PN_DSC_5864_DxO.dng	2	2	3	2	3	3					0.78060395	0.4068005	0.68637186		
originals/D700_PN_DSC_6042_.NEF	converted_DxO/D700_PN_DSC_6042_DxO.dng	3	3	2	3	2	2					0.9082684	0.6294148	0.81736475		
originals/D700_PN_DSC_6263_.NEF	converted_DxO/D700_PN_DSC_6263_DxO.dng	3	3	2	3	2	3					0.63543373	0.36695507	0.5756743		
originals/D700_PN_DSC_6316_.NEF	converted_DxO/D700_PN_DSC_6316_DxO.dng	2	2	3	2	3	2					0.83510315	0.6765527	0.81954044		
originals/D700_PN_DSC_7179_.NEF	converted_DxO/D700_PN_DSC_7179_DxO.dng	3	3	2	3	2	3					0.5259474	0.3346748	0.6214555		
originals/D700_PN_DSC_7941_.NEF	converted_DxO/D700_PN_DSC_7941_DxO.dng	3	2	2	2	2	2					0.80852073	0.44679597	0.6500843		
originals/D700_PN_DSC_8622_.NEF	converted_DxO/D700_PN_DSC_8622_DxO.dng	3	2	2	2	3	3					0.37829262	0.15083222	0.4552721		
originals/D700_PN_DSC_8735_.NEF	converted_DxO/D700_PN_DSC_8735_DxO.dng	2	2	3	2	3	3					0.7661758	0.5860123	0.7382854		
originals/D700_PN_DSC_9047_.NEF	converted_DxO/D700_PN_DSC_9047_DxO.dng	2	2	3	2	2	3					0.79037356	0.59077007	0.832765		
originals/D800_KPIC_1_.NEF	converted_DxO/D800_KPIC_1_DxO.dng	3	2	3	3	2	3					0.8849958	0.5191682	0.71692705		
originals/D800_KPIC_2_.NEF	converted_DxO/D800_KPIC_2_DxO.dng	3	2	3	3	2	3					0.81597865	0.735384	0.7895386		
originals/DSC_0141_.NEF	converted_DxO/DSC_0141_DxO.dng	3	2	1	3	2	3	0	0	0	0	1	1	1	0	0
originals/DSC_2265_.NEF	converted_DxO/DSC_2265_DxO.dng	3	2	1	2	2	3	0	0	0	0	1	1	1	0	0
originals/DSC_2599_.NEF	converted_DxO/DSC_2599_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_2982_.NEF	converted_DxO/DSC_2982_DxO.dng	2	2	3	2	2		0	0	0	0	1	1	1	0	0
originals/DSC_2984_.NEF	converted_DxO/DSC_2984_DxO.dng	2	2	2	2	3	2	0	0	0	0	1	1	1	0	0
originals/DSC_2986_.NEF	converted_DxO/DSC_2986_DxO.dng	2	2	2	2	2	3	0	0	0	0	1	1	1	0	0
originals/DSC_2987_.NEF	converted_DxO/DSC_2987_DxO.dng	2	2	2	2	2	3	0	0	0	0	1	1	1	0	0
originals/DSC_2988_.NEF	converted_DxO/DSC_2988_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_2991_.NEF	converted_DxO/DSC_2991_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3006_.NEF	converted_DxO/DSC_3006_DxO.dng	2	3	2	2	3	2	0	0	0	0	1	1	1	0	0
originals/DSC_3015_.NEF	converted_DxO/DSC_3015_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3022_.NEF	converted_DxO/DSC_3022_DxO.dng	2	3	2	2	3	2	0	0	0	0	1	1	1	0	0
originals/DSC_3023_.NEF	converted_DxO/DSC_3023_DxO.dng	2	3	2	2	3	2	0	0	0	0	1	1	1	0	0
originals/DSC_3024_.NEF	converted_DxO/DSC_3024_DxO.dng	2	2	2	2	3	2	0	0	0	0	1	1	1	0	0
originals/DSC_3025_.NEF	converted_DxO/DSC_3025_DxO.dng	2	2	3	2	2	3	0	0	0	0	1	1	1	0	0
originals/DSC_3029_.NEF	converted_DxO/DSC_3029_DxO.dng	2	2	2	3	3	2	0	0	0	0	1	1	1	0	0
originals/DSC_3030_.NEF	converted_DxO/DSC_3030_DxO.dng	2	2	2	2	3	2	0	0	0	0	1	1	1	0	0
originals/DSC_3031_.NEF	converted_DxO/DSC_3031_DxO.dng	2	2	2	3	3	2	0	0	0	0	1	1	1	0	0
originals/DSC_3032_.NEF	converted_DxO/DSC_3032_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3036_.NEF	converted_DxO/DSC_3036_DxO.dng	2	2	3	2	2	3	0	0	0	0	1	1	1	0	0
originals/DSC_3037_.NEF	converted_DxO/DSC_3037_DxO.dng	2	2	3	3	2	3	0	0	0	0	1	1	1	0	0
originals/DSC_3038_.NEF	converted_DxO/DSC_3038_DxO.dng	2	2	2	2	2	3	0	0	0	0	1	1	1	0	0
